,name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
28,JodaOrg-joda-time,2.9.2,300,cosine,single,44,90.83333333333331
17,ReactiveX-RxJava,2.2.8,50,cosine,single,110,93.61207897793264
66,ZieIony-Carbon,0.7.2,50,cosine,average,55,75.87719298245614
7,activiti-activiti,7.1.83,50,manhattan,single,124,96.98590179873602
10,airbnb-lottie-android,3.0.0,150,manhattan,complete,34,95.50264550264549
26,alibaba-fastjson,1.2.54,50,manhattan,single,231,91.68466522678186
44,alibaba-jetcache,2.5.2,200,euclidean,average,34,87.85714285714286
60,apache-accumulo,1.9.3,50,cosine,single,455,79.18572735590121
6,apache-activemq,5.15.8,50,cosine,single,158,97.05498602050328
22,apache-archiva,1.3.9,50,manhattan,single,138,92.43006034009872
49,apache-avro,1.7.2,250,euclidean,complete,162,85.87619877942458
73,apache-beam,2.7.0,50,cosine,single,1149,39.174166225516146
71,apache-bookkeeper,4.6.2,50,cosine,single,413,55.82887700534761
39,apache-calcite,1.3.0,50,cosine,single,143,88.92331525948877
19,apache-cassandra,3.2,50,euclidean,single,170,92.8691275167785
40,apache-isis,1.16.2,50,cosine,single,396,88.6986301369863
54,apache-jmeter,2.7,50,euclidean,single,266,81.97831978319783
63,apache-storm,1.2.3,50,cosine,single,447,78.24817518248175
51,auth0-java-jwt,3.7.0,50,cosine,single,17,84.82142857142857
30,bumptech-glide,4.6.1,50,cosine,single,107,90.0925925925926
37,bytedeco-javacpp,1.3.1,100,euclidean,complete,20,89.07103825136612
25,crate-crate,3.3.5,50,cosine,single,230,91.75331660093224
29,dropwizard-dropwizard,1.3.6,50,manhattan,single,115,90.55053410024652
36,dropwizard-metrics,3.2.5,200,manhattan,average,35,89.42598187311178
27,facebook-facebook-android-sdk,5.2.0,50,manhattan,single,96,91.01123595505621
34,google-error-prone,2.1.2,50,manhattan,single,144,89.80891719745226
48,grpc-grpc-java,1.20.0,50,cosine,single,153,86.05287146763901
8,hazelcast-hazelcast,3.8.9,50,cosine,single,208,96.7494921081419
3,hibernate-hibernate-orm,5.3.7,50,manhattan,single,111,98.986301369863
65,immutables-immutables,2.7.1,50,cosine,single,161,76.66666666666666
23,jankotek-mapdb,1.0.7,150,manhattan,average,19,92.36947791164656
57,java-native-accessjna,5.2.0,50,cosine,single,191,80.22774327122153
1,jenkinsci-jenkins,2.194,50,cosine,single,114,99.02002922719849
32,jhy-jsoup,1.6.0,50,manhattan,single,10,89.89898989898991
47,knowm-XChange,4.3.2,50,cosine,single,342,86.46080760095013
72,lettuce-io-lettuce-core,5.1.5,50,cosine,single,342,51.898734177215175
50,mybatis-mybatis-3,3.3.1,50,cosine,single,204,85.49075391180655
70,naver-pinpoint,1.8.4,50,cosine,single,1854,63.575638506876224
20,oblac-jodd,5.0.8,50,cosine,single,177,92.8657799274486
18,oracle-opengrok,1.3.1,50,cosine,single,105,93.40037712130736
58,pxb1988-dex2jar,0.0.9.5,100,cosine,average,29,79.5774647887324
31,raphw-byte-buddy,1.9.3,50,manhattan,single,121,89.96683250414594
24,redisson-redisson,3.7.2,50,cosine,single,111,92.11647727272728
69,rest-assured-rest-assured,3.2.0,300,euclidean,complete,157,71.08655616942909
41,robolectric-robolectric,3.8,50,cosine,single,138,88.31498729889923
21,scribejava-scribejava,6.6.2,250,euclidean,complete,23,92.58064516129032
35,sofastack-sofa-rpc,5.6.1,50,cosine,single,117,89.52551477170994
42,springfox-springfox,2.3.0,300,cosine,complete,83,88.29337094499294
56,swagger-api-swagger-core,1.5.23,50,euclidean,single,126,80.25078369905954
45,testcontainers-testcontainers-java,1.8.1,200,cosine,complete,62,87.4239350912779
62,web3j-web3j,4.1.1,50,cosine,single,135,78.5031847133758
