name,min_version,max_version,Remarks
apache-storm,1.1.0,2.0.0,
apache-cassandra,3.11.3,3.8,
airbnb-lottie-android,2.6.0,3.0.6,
apache-isis,1.6.0,1.17.0,
apache-jmeter,2.7,5.1,
apache-log4j,1.2.7,1.2.13,
apache-maven,3.3.7,3.6.1,
apache-spark,2.1.3,2.4.4,
apache-tomcat,9.0.6,9.0.26,
rzwitserloot-lombok,1.16.20,1.19.1,
apache-tika,1.2.0,1.19.1,
alibaba-fastjson,1.2.51,1.2.61,
activiti-activiti,7.1.74,7.1.82,
bumptech-glide,4.2.0,4.8.0,
codecentric-spring-boot-admin,2.1.3,2.1.5,
dropwizard-dropwizard,1.3.2,1.3.14,
dropwizard-metrics,3.2.4,4.0.6,
facebook-facebook-android-sdk,4.42.0,5.5.0,
google-dagger,2.19,2.24,
google-error-prone,2.0.20,2.3.2,
grpc-grpc-java,1.17.1,1.22.2,
java-native-accessjna,4.3.0,5.3.1,
jenkinsci-jenkins,2.184,2.194,
jhy-jsoup,1.6.0,1.9.1,
mockito-mockito,2.28.1,3.0.7,
mybatis-mybatis-3,3.3.1,3.5.1,
naver-pinpoint,1.6.2,1.8.4,
pxb1988-dex2jar,0.0.9.4,0.0.9.9,
ReactiveX-RxJava,2.2.2,2.2.12,
redisson-redisson,3.7.2,3.11.2,
swagger-api-swagger-cord,1.5.23,1.5.23,Volatile project
apache-accumulo,1.7.1,1.9.3,
apache-activemq,5.15.0,5.15.8,
apache-archiva,1.3.8,1.3.9,
apache-avro,1.7.2,1.9.0,
apache-beam,2.6.0,2.8.0,
apache-bookkeeper,4.6.2,4.9.1,
apache-calcite,1.2.0,1.19.0,
scribejava-scribejava,6.4.0,6.8.0,
joelittlejohn-jsonschema2pojo,0.4.31,1.0.0,
robolectric-robolectric,3.6.2,4.2.1,
rest-assured-rest-assured,3.2.0,4.1.0,
mrniko-netty-socketio,1.7.2,1.7.17,
JodaOrg-joda-time,2.8.2,2.9.8,
hibernate-hibernate-orm,5.3.5,5.4.4,
springfox-springfox,2.3.0,2.9.1,
spring-projects-spring-security,5.0.6,5.1.5,
jankotek-mapdb,1.0.7,1.0.9,
bytedeco-javacpp,1.3.1,1.5.0,
testcontainers-testcontainers-java,1.8.1,1.12.2,
sofastack-sofa-rpc,5.5.1,5.6.1,
knowm-Xchange,4.3.2,4.3.20,
hazelcast-hazelcast,3.8.9,3.12.2,
cryptomator-cryptomator,1.4.2,1.4.14,
btraceio-btrace,1.3.2,1.3.8.3,
auth-0-java-jwt,3.7.0,3.8.2,
oblac-jodd,5.0.2,5.0.13,
javaparser-javaparser,3.14.2,3.14.14,
iSoron-uhabits,1.6.2,1.7.8,
oracle-opengrok,1.2.20,1.3.1,
lettuce-io-lettuce-core,5.1.4,5.1.8,
querydsl-querydsl,4.1.0,4.2.0,
Twitter4J-Twitter4J,4.0.4,4.0.6,
web3j-web3j,4.1.0,4.5.4,
Zielony-Carbon,0.7.2,0.9.0,
immutables-immutables,2.6.0,2.7.5,
pmd-pmd,6.2.0,6.16.0,
ionic-team-capacitor,0.0.110,1.2.0,
cglib-cglib,3.2.7,3.2.9,
raphw-byte-buddy,1.9.2,1.9.16,
quarkusio-quarkus,0.17.0,0.23.0,
uber-NullAway,0.6.5,0.7.7,
coobird-thumbnailator,0.3.9,0.4.7,
crate-crate,3.3.1,4.0.4,
alibaba-jetcache,2.5.2,2.5.14,
